name,coordinates
Beveland - Heerhugowaard,"4.8069544,52.6628189,0
                4.8097439,52.6597995,0
                4.8242064,52.6673215,0
                4.8224469,52.6683365,0
                4.8203011,52.668805,0
                4.8072977,52.6628189,0
                4.8069544,52.6628189,0"
Breekland - Heerhugowaard,"4.7755528,52.7077664,0
                4.7801233,52.7003943,0
                4.7889209,52.7022277,0
                4.7861743,52.7071423,0
                4.7842431,52.7067133,0
                4.7826982,52.7093004,0
                4.7755528,52.7077664,0"
Zandhorst 123,"4.8268274,52.6849751,0
                4.8267523,52.6833529,0
                4.8280827,52.6801788,0
                4.8279539,52.6762369,0
                4.8264622,52.6737333,0
                4.8244667,52.6726534,0
                4.8183727,52.6700251,0
                4.8207759,52.6691142,0
                4.8251751,52.6710417,0
                4.830325,52.6733968,0
                4.8324278,52.6746068,0
                4.8353675,52.6770267,0
                4.8366979,52.6789261,0
                4.8378137,52.6820613,0
                4.8380068,52.6844938,0
                4.8268274,52.6849751,0"
De Zandhorst 123,"4.8267235,52.6855465,0
                4.8383106,52.6849741,0
                4.8395122,52.6975637,0
                4.8359073,52.6976677,0
                4.8332466,52.6972516,0
                4.8297704,52.6964973,0
                4.8257793,52.6966014,0
                4.8277105,52.6907491,0
                4.826938,52.6879918,0
                4.8267235,52.6855465,0"
Alton - Heerhugowaard,"4.8232566,52.7065207,0
                4.8273335,52.6982511,0
                4.8348437,52.6995515,0
                4.8358308,52.7000976,0
                4.839779,52.6998376,0
                4.8398648,52.6992654,0
                4.845315,52.6990054,0
                4.8457442,52.7004617,0
                4.850422,52.7004617,0
                4.8505936,52.7014239,0
                4.8502503,52.701684,0
                4.8503361,52.7021261,0
                4.8482333,52.7022041,0
                4.8484479,52.7037383,0
                4.8470746,52.7037903,0
                4.8469887,52.7058706,0
                4.8471604,52.7068327,0
                4.8439418,52.7071967,0
                4.8437701,52.7096668,0
                4.8405085,52.7100568,0
                4.8232566,52.7065207,0"
De Mossel - Heerhugowaard,"4.8019619,52.7048285,0
                4.802391,52.7021501,0
                4.8057277,52.7021826,0
                4.805674,52.7024101,0
                4.8060066,52.7025206,0
                4.8071224,52.7028327,0
                4.8062534,52.7042499,0
                4.8103089,52.705043,0
                4.8096223,52.7064147,0
                4.8019619,52.7048285,0"
Zuideldel,"4.7908167,52.6782866,0
                4.7923616,52.6727962,0
                4.802082,52.6716642,0
                4.8026828,52.6719635,0
                4.8037771,52.672588,0
                4.8037986,52.6741624,0
                4.8026613,52.6756846,0
                4.8019103,52.6770507,0
                4.8012666,52.6794835,0
                4.7908167,52.6782866,0"
De Vaandel,"4.8394949,52.6880777,0
                4.837907,52.6768125,0
                4.838937,52.6772028,0
                4.842971,52.6786859,0
                4.8493225,52.6795185,0
                4.8500091,52.6878176,0
                4.8394949,52.6880777,0"
Boekelermeer Heiloo (zuid),"4.7390254,52.5936714,0
                4.7387893,52.5911035,0
                4.7444465,52.5904605,0
                4.7450979,52.5929414,0
                4.7390254,52.5936714,0"
Uitgeest Noord,"4.7170662,52.5409588,0
                4.7154568,52.5372262,0
                4.7151564,52.534916,0
                4.7138261,52.5330756,0
                4.7211002,52.5311568,0
                4.720435,52.54075,0
                4.7170662,52.5409588,0"
De Frans,"4.8211286,52.6690853,0
                4.8243473,52.6676539,0
                4.8406551,52.6762935,0
                4.8437879,52.677022,0
                4.8444317,52.6774123,0
                4.8443887,52.678245,0
                4.8426721,52.678271,0
                4.8211286,52.6690853,0"
Castricummerwerf - Castricum,"4.6629848,52.5424768,0
                4.6624699,52.542131,0
                4.6624269,52.5401474,0
                4.6653881,52.5386269,0
                4.6655168,52.5395013,0
                4.6657529,52.5395274,0
                4.6658924,52.5408978,0
                4.6629848,52.5424768,0"
Heemstederweg - Castricum,"4.6744633,52.5367385,0
                4.6778536,52.5349178,0
                4.6779931,52.5352049,0
                4.6778858,52.5363796,0
                4.6776819,52.5372802,0
                4.6773064,52.538135,0
                4.6756542,52.5377892,0
                4.676019,52.5372345,0
                4.6744633,52.5367385,0"
Nieuwelaan - Castricum,"4.6946892,52.5790699,0
                4.6941849,52.5777594,0
                4.6943459,52.5776812,0
                4.6939918,52.5768532,0
                4.6955153,52.5766576,0
                4.6952793,52.5762925,0
                4.6970281,52.5763446,0
                4.6970603,52.5767358,0
                4.6976396,52.5768532,0
                4.7000643,52.5768597,0
                4.7007081,52.5789265,0
                4.6946892,52.5790699,0"
